"File","Coder","Coded","Id","Codename","Coded_Memo","Category","Category","Category"
"Entrevistado 18.docx","default","e minha mãe ficava com medo de me envolver, dessas coisas, eu nunca tive medo, eu acho que é o papel de cada um cidadão, é a gente buscar soluções dos problemas que a gente encontra,","ctid:197","2 Estado democrático com participação social","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 2.docx","default","Ah, ele é fundamental, né? O meu orgulho de trabalhar no Conselho, de estar no Conselho da Costa dos Corais, que é reconhecido no Brasil como um conselho muito forte, Muito atuante, então isso é muito interessante porque acompanha outros conselhos, colegas que estão trabalhando em outros conselhos, enfim, em outras UC’s, vão ter temas de reuniões também que envolvem outros conselhos, outros conselheiros de outras UC’s. e todos comentam muito das ações, da forma como a gente conduz o conselho. Ele é um conselho atuante nesse sentido, ele tem bons conselheiros, e vamos dizer, conselheiros que realmente trabalham e atuam na região, afinal são 13 municípios, talvez não fosse tão diferente, fosse algo mais largado, enfim, mas a gente não pode esquecer que o Conselho só é forte por causa do próprio ICMBio. Principalmente no caso da gestão socioambiental do ICMBio. Então eles têm essa coisa de estar organizando. Desde quando eu conheço o Conselho, então eu repito, lá atrás, quando eu não era conselheiro, depois que eu passei a ser conselheiro, nunca deixaram de fazer uma reunião, nunca deixaram de respeitar as pautas, nunca deixaram de aceitar as pautas que os conselheiros falaram, sempre com um forte apoio à gestão a nós, conselheiros. Lógico que teve aporte de recursos de fora que ajudaram na época da pandemia a gente a desenvolver nossas reuniões de via remota, que isso foi também um salto, as outras UCs estavam paralisadas e a gente lá participando de reuniões ativamente, As decisões são muito interessantes, têm sido muito em prol da conservação do meio ambiente. Acredito que se você olhar todas as pautas, todas as decisões, é realmente de surpreender. Claro que o desdobramento dessas pautas ou dessas aprovações do que são discutidas é outra coisa. Esbarra com coisas sensíveis como falta de fiscalização e outros, que a gente já sabe. Porque a gente teve um desmonte muito grande no governo passado. A APA sofreu muito e vem se recuperando ainda do governo passado. Mas ele é, ele é muito forte. A gente não pode esquecer que primeiro ele é consultivo. Todos os conselheiros, ou a grande maioria, toda vez que eles entram ou renovam, que é o meu caso de renovação, que eu sempre pleiteio para ser renovado, fazer a renovação, eu divido o assento com o João Borges, da Fundação Mamíferos Aquáticos, ele é meu suplente. Ele tem sido meu suplente, eu já disse pra ele, por favor, seja titular, vamos dividir essa tarefa, e eu viro suplente, ele não, Clemente, vai tocando. e tá tudo certo. E a gente tem dividido essa tarefa, nunca faltamos, quando falta justifica, a gente tem sempre a nossa presença, o nosso acento sempre foi presente. Isso aí é muito legal. E tem acontecido com os outros. Eu tenho reparado que os outros também tem acontecido isso, de dividir essa tarefa. Quando não acontece, alguma coisa tá acontecendo. E aí, lembrar que ele é consultivo. Esse é o primeiro ponto. Quando ele é consultivo, ele passa a ser fundamental como ação política, porque a gente não só quer ouvir a gestão, no caso do ICMBio, como o ICMBio também quer ouvir muita gente. Então a gente tem um diálogo muito forte com os analistas ambientais que fazem a gestão da APA. Além de constitui-lo deliberativo, a gente tem toda uma pressão. Nós fizemos o Plano de Manejo, que também foi considerado um dos processos mais bem feitos de elaboração de Plano de Manejo. Posteriormente, fofocas à parte, nós tivemos que entrar na Justiça para tirar de Brasília, mas por conta de que ficou preso no governo passado, eles prenderam o Plano de Manejo. Eu, Clemente Coelho Gil, não tenho problema, porque isso virou público. Entrei numa ação no Ministério Público Federal para tirar de Brasília, dizer, opa, nós elaboramos o Plano de Manejo, E cadê agora, vamos lá, e os conselheiros apoiaram, enfim. E politicamente, a gente apoia muito politicamente. Quando há situações nas quais têm que ser enfrentadas, a gente traz essas pautas também. A gente traz essas pautas pra dentro do conselho e divide com os conselheiros. Quando na necessidade de elaboração de documentos técnicos ou de moções, é bem interessante que a gente tenha aprovado todas as nossas manifestações. Todas elas. Desde permanência do chefe na época, o Irã Normand, vou dar um exemplo, que ele foi perseguido politicamente e saiu, então a gente conseguiu fazer um manifesto. Até coisas do tipo quando queriam afundar o navio dentro da Apa Costa dos Corais. E essas são ações políticas, o Conselho tem esse viés. Não vou dizer que é unanimidade sempre, mas ele é bem interessante. A gente não deixa de trazer isso e lembrar também que graças a essa visão política de um grupo de conselheiros ainda bastante atuantes, já de muito tempo, a gente tem as atuações locais mesmo. A gente percebe que, graças ao conselho, melhorou muito a gestão ambiental dos municípios. Criaram-se secretarias, os conselhos Os condemas foram criados também por conta nossa, com muita conversa, trazendo as pautas para dentro do conselho, conversando com os secretários de meio ambiente para que eles criassem esses condemas e de várias outras coisas que a gente vê que nasce dentro do grupo e já vê acontecer dentro dos municípios. Um exemplo maior, eu acho que tem sido agora... recentemente, o ordenamento das piscinas por parte do município. O cadastramento dos jangadeiros está acontecendo na coleção Miguel dos Milagres, já aconteceu no passado em Ponte de Pedras e em Maragogi, mais ainda lá atrás. Isso é muito legal porque veio do conselho, veio da discussão do conselho, como que era trabalhar, os municípios deveriam trabalhar essa questão da visitação. E aí, enfim, nós temos planos em relação a isso, foram criados planos. Eu acho importante, faz parte da governança, os conselheiros em suas atuações e dentro das suas instituições na qual representam, eles fazem parte da governança local também. ","ctid:235","2 Estado democrático com participação social","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 2.docx","default","Até porque é importante mostrar pra eles que eu tô discutindo gestão junto com eles, quer dizer, eu sou também da parte da gestão municipal, via governança, tá, tá, tá. Então, tem sido essa forma devolutiva, sabe? ","ctid:238","2 Estado democrático com participação social","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 3.docx","default","Fundamental, porque acho que a gestão sozinha não conseguiu tomar tantas decisões e as informações chegam. E a diversidade de setores dentro daquele conselho eu acho que ajuda muito. Então eu acho que sim, ele é fundamental para funcionar. ","ctid:281","2 Estado democrático com participação social","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 3.docx","default","Por isso que o conselho é bom. É verdade. E eu acho que também, assim, eu acho que a gente tem, eu, professores da Federal, Clemente, da UPE, algumas pessoas têm uma parte científica que ajuda. Mas a APA não é só um centro de ciência, né? Então acho que... Essa coisa da gente se bater de frente, eu converso muito com isso com a Bia até. Bater de frente com pescador, com turismo, a gente faz, eita pau, tem que direcionar nossas pesquisas para além. Isso ajuda a gente também. E aí eu acho que a gente ajuda melhor, rapaz, nesse caso. Sim, a interação, né? Entre todos","ctid:280","2 Estado democrático com participação social","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 4.docx","default","Eu acho que é bem importante, assim, vai ter o porquê que eu acho. Então, porque é um canal de, como eu vou dizer, de cobrança e de auxílio também, sabe, pra gestão da APA, e de denúncia, e de se preocupar, vamos fazer alguma coisa, sabe, junto, assim, é esse trabalho colaborativo, essencial pra gestão da APA","ctid:285","2 Estado democrático com participação social","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 6.docx","default","Porque a gente tem uma cadeira para que a gente possa propor ideias, mas que a gente também possa fazer essa proximidade da população com a gestão da unidade de conservação. ","ctid:336","2 Estado democrático com participação social","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 8.docx","default","a importância da comunidade estar ativa politicamente pra reivindicar melhorias que precisam ser reivindicadas. Então foi a parte disso que tanto eu quanto os colegas que vivem do mesmo território, a gente teve essa percepção de território. Então a gente deve muito a esse olhar cuidadoso que a região na época teve pra comunidade","ctid:386","2 Estado democrático com participação social","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 1.docx","default","Não é que eu sou favorável. Não, mas pode falar com outra pessoa. Mas assim, dependendo do local, acho que é viável. Um lugar que não afeta barulho, despozada, até isso. Sem problema nenhum.","ctid:15","2 Favorável, desde que seja com limitações","","Apoio à festas à beira mar","Núcleo de Políticas"
"Entrevistado 10.docx","default","Eu acho que tem que existir desde que se tem um pré-projeto, uma pré-análise, com algumas normatividades, algumas compensações também, porque eu aprendi que no meio ambiente tudo pode, eu aprendi isso no meio ambiente","ctid:38","2 Favorável, desde que seja com limitações","","Apoio à festas à beira mar","Núcleo de Políticas"
"Entrevistado 11.docx","default","Tem gente que é contra tudo, tem gente que é a favor de tudo. Nátaly, é o seguinte. Nós podemos fazer qualquer atividade desde que não interfira dentro do sistema da fauna e da flora do sistema. Por exemplo, você ir com um barco, ir lá em cima do barco, você ter uma festa, não tem problema. Agora, esse barco não pode jogar garrafa, não pode jogar lixo, não pode fazer absolutamente nada que interfira dentro do ecossistema. Não há problema nenhum ter uma festa em cima do barco, desde que ele não interfira com o ecossistema","ctid:60","2 Favorável, desde que seja com limitações","","Apoio à festas à beira mar","Núcleo de Políticas"
"Entrevistado 13.docx","default","festas, seja em Copacabana, Quema de Fogos, como também aqui no litoral da APA, apenas que você tem que saber que qualquer atividade antropogênica gera um impacto. E você definir que essa área seja restrita e que quanto mais respeitadas forem as normas, menos restritas as normas precisam ser. Quanto mais frouxo é o sistema, Aí, as mais rígidas tem que ser as novas, mas claro elas precisam de um comprimento também. Então, como elas usualmente são efetuadas aqui no litoral da APA, mediante autorização do IMA, mediante a autorização de prefeituras municipais, eu diria que ainda existe um descaso muito grande sobre os impactos no ambiente. E a APA, no caso aqui, não apita muito nisso não, porque ela recebe os resíduos. Mas, no geral, não tem ingerência. Ela não precisa autorizar. Mas, sim, ela poderia ser muito mais ativa porque ela recebe os resíduos. ","ctid:452","2 Favorável, desde que seja com limitações","","Apoio à festas à beira mar","Núcleo de Políticas"
"Entrevistado 15.docx","default","Eu acho que não deveria ter festa da forma como a gente tem visto nos últimos anos. Porque festa, na verdade, toda a vida teve. Quando se tem a comemoração do dia de Iemanjá, pelo candomblé, isso é uma festa. Faz barulho na praia, tem gente, tem aglomerado, tem lançamento de resíduos dos barquinhos que vai pro mar, gera lixo. Isso já não acontece. Eu acredito que o seu tipo de pergunta é em relação às últimas festas que vem tendo. Com muita bebida alcoólica, com garrafa, com plástico, com um som ensurdecedor que ninguém aguenta. Eu acho que isso sim deveria ser proibido. Já imaginou um casamento na praia? Lindo. É uma festa na praia. Mas precisa ter limites. Só pode isso, só pode aquilo e só pode aquilo. Não tá disposto não a fazer, então também não faz. Porque as festas, elas já existem tradicionalmente há muitos anos.","ctid:133","2 Favorável, desde que seja com limitações","","Apoio à festas à beira mar","Núcleo de Políticas"
"Entrevistado 3.docx","default","Sem ser na água? Ou beira-mar mesmo? Porque tem duas coisas. Estava muito na moda. A beira-mar mesmo, sem ser na água. Eu acho que ela tinha que ser muito regulamentada. Eu acho que... A beira, a beira do mar mesmo, eu acho que acontece aqui, em Réveillon, essas coisas sempre vão acontecer. O problema não é o lixo depois, o problema é o impacto depois. Então, assim, eu acho que dentro de um ato, eu acho que tem que ser restrito. Eu acho que tem que ser restrito. Eu estava perguntando aonde, porque se vende muito em Maceió, e é naquela região ali. festas lá dentro. É uma festa que as pessoas ficam dentro d'água, bebendo, comendo, e reivindicam o som. E a briga dessa semana foi essa.","ctid:272","2 Favorável, desde que seja com limitações","","Apoio à festas à beira mar","Núcleo de Políticas"
"Entrevistado 5.docx","default","Eu acho, eu vejo com bons olhos, eu não vejo isso um problema. O que precisa é que seja algo organizado e ordenado, com gestão de resíduos, com baixo impacto para o sonoro, para o local que tenha muito, enfim, um adensamento maior, tem que ter esse cuidado. Mas eu não vejo, eu acho saudável, pelo contrário. Eu acho que é bom as pessoas participarem de eventos e estarem nesses locais, essas áreas que são públicas, as faixas de praia. Então eu acho bem importante, eu gosto até também de eventos, não os que hoje tem, mas de eventos dentro do mar, sabe? Poxa, seria muito interessante, como eu estava falando, se tivesse algo como levar uma imagem para ali e fazer e tal, e cantos e não sei o quê, seria bem interessante, um cortejo de embarcações. Eu não gosto de lancha, batidão, batistaca, isso aí, eu não gosto não, mas eu acho que festas em áreas de praia e áreas molhadas, eu acho que são interessantes, desde que tenham esses regulamentos.","ctid:324","2 Favorável, desde que seja com limitações","","Apoio à festas à beira mar","Núcleo de Políticas"
"Entrevistado 7.docx","default","o evento de Réveillon Carneiro, o Réveillon de Tamandaré, vai ser na orlamesmo. Não tem restinga. O professor Mauro disse que não pode por causa da restinga. Ali não tem restinga. Eu acho que tem que ser estudado caso a caso. Então, quem está em cima do poder vai querer que se faça porque tem as compensações. Mas se infringir, se infringir não, se houver uma degradação ambiental para com aquelas pessoas que estão no território, é um não.","ctid:377","2 Favorável, desde que seja com limitações","","Apoio à festas à beira mar","Núcleo de Políticas"
"Entrevistado 8.docx","default","Eu acho que devem ter parâmetros para que não haja excessos. Respeitando as condições ambientais do lugar, eu acho que seria ok. Dentro desses parâmetros eu acho que seria algo aceitável. Mas aí também é complexo, né? Precisa de fiscalização, informação.","ctid:402","2 Favorável, desde que seja com limitações","","Apoio à festas à beira mar","Núcleo de Políticas"
"Entrevistado 9.docx","default","antes pra mim não tinha problema. Hoje eu vejo que me prejudica, assim, eu acho que assim, Não é proibir de definitivo, mas eu acho que tem um controle, né? Senão, provavelmente, daqui a pouco, avacalha tudo.","ctid:428","2 Favorável, desde que seja com limitações","","Apoio à festas à beira mar","Núcleo de Políticas"
"Entrevistado 1.docx","default","São aqueles que normalmente têm opinião semelhante. Semelhante a nossa. ","ctid:22","2 Ideias semelhantes","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 10.docx","default"," As mesmas opiniões, é, as mesmas opiniões.","ctid:44","2 Ideias semelhantes","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 11.docx","default","Você já ouviu o ditado que o igual procura o igual? Isso é uma lei universal. Então, claro, com quem as pessoas que tinham mesmo pensamento de… a gente se sentia melhor e era com essas pessoas que a gente se relacionava mais","ctid:72","2 Ideias semelhantes","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 12.docx","default","Acaba que, geralmente, a gente acaba interagindo mais com quem tem opiniões parecidas.","ctid:95","2 Ideias semelhantes","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 15.docx","default","Às vezes com a opinião, a mesma opinião, porque conversando às vezes acaba descobrindo que a gente tem uma opinião diferente. Não tem problema nenhum da outra pessoa ter uma opinião diferente, é até bom a gente conversar para esclarecer as ideias e a gente começar a se entender","ctid:140","2 Ideias semelhantes","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 2.docx","default","Mesma coisa. Acho que fluem, claro, muito melhor o diálogo quando a gente tem o mesmo propósito, a mesma bandeira. Isso é natural, até no círculo de amizade. Mas o conselho tem funcionado muito na escuta, quer dizer, de ouvir cada um qual opinião que se tem para se debater","ctid:258","2 Ideias semelhantes","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 3.docx","default","Bom, com o que compartilha. É fácil, não tem como negar","ctid:283","2 Ideias semelhantes","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 4.docx","default","Posso, com os que têm a mesma. ","ctid:305","2 Ideias semelhantes","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 6.docx","default","É isso, tipo, tinha muito com a, com ICMBio, o pesquisa, não sei o que,  que são opiniões semelhantes","ctid:357","2 Ideias semelhantes","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 7.docx","default","Que compartilham. É, não conseguem fortalecer essa opinião para que quem está lá dizendo não, atenta, fique atento, né? ","ctid:384","2 Ideias semelhantes","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 8.docx","default","Com as pessoas que têm a opinião mais parecida.","ctid:407","2 Ideias semelhantes","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 10.docx","default","Não, não, esporadicamente.","ctid:230","2 Interação esporádica","","Interação entre conselheiros","Repasse das temáticas","Núclo Instrumental"
"Entrevistado 14.docx","default","Não, você conversa por lá.","ctid:224","2 Interação esporádica","","Interação entre conselheiros","Repasse das temáticas","Núclo Instrumental"
"Entrevistado 4.docx","default","Sim, às vezes sim,","ctid:304","2 Interação esporádica","","Interação entre conselheiros","Repasse das temáticas","Núclo Instrumental"
"Entrevistado 6.docx","default","Sim, eles sempre rolam um pouquinho, então a gente discutiu","ctid:356","2 Interação esporádica","","Interação entre conselheiros","Repasse das temáticas","Núclo Instrumental"
"Entrevistado 7.docx","default","Para falar a verdade, eu não converso tanto não.","ctid:383","2 Interação esporádica","","Interação entre conselheiros","Repasse das temáticas","Núclo Instrumental"
"Entrevistado 8.docx","default","Eu tenho um pouco de dificuldade de fazer isso. Eu não costumo interagir tanto não, sabe?","ctid:406","2 Interação esporádica","","Interação entre conselheiros","Repasse das temáticas","Núclo Instrumental"
"Entrevistado 1.docx","default","E eu acho que a gente está aqui uns seis, sete meses, a gente vai tentar botar em prática, tentar buscar realmente resgatar a cultura do nosso local, que é muito forte aqui esse momento, muito forte mesmo. Então acho que a gente vai conseguir isso aí.","ctid:5","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 12.docx","default","Lá na região, existem ainda algumas manifestações da cultura popular, a cultura… a partir das manifestações artísticas populares. Não sei se era nessa ideia de publicidade. Existem algumas coisas no município, naquela região que se chama de ralta ecológica, e infelizmente, não tem essa valorização do poder público local. Então, algumas pessoas, quando estão na gestão, tentam puxar, tentam trazer algum tipo de investimento, de valorização, de resgate para esse pessoal, mas isso ocorre pouco.","ctid:76","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 12.docx","default","Mudanças em função de um turismo não ordenado. E aí, a especulação imobiliária acaba destruindo, de certa forma, vai desfazendo essas manifestações. Então, manifestações culturais que têm uma ligação muito forte com elementos da natureza, como a própria cultura da pesca artesanal, a cultura do próprio pescador, os pontos de roda, os praeiros. Essas pessoas começam a serem deslocadas do litoral, de fato, e começam a ir para áreas periféricas. É óbvio que tem grupos que ficam na resistência, mantendo ainda a cultura, mas isso dificulta demais","ctid:79","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 13.docx","default","E muitos pescadores estão se transformando também em guias turísticos, recebem muitas vezes até alguma preparação para isso, mas não faz parte da sua identidade original. Se eles são preparados para levar para o turista a sua visão cultural sobre o significado dos valores que está no ambiente, é fantástico. Mas isso em poucas ocasiões acontece","ctid:437","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 13.docx","default","Eu estive em Japaratinga, na virada de Então, no início do ano, numa pousada, e de uma forma rara, na pousada tinha, assim, respeito aos valores dos pescadores que estavam ali arrastando no meio dos turistas, apavorados. Foi muito fantástico. Depois você pode ver, acho que eu botei isso no Instagram, não sei se foi do Lacom. Na hora você via, era um arrasto na área onde os turistas estavam, E os filhos dos pescadores, no geral negro, estavam brincando no meio dos filhos dos turistas brancos. E os... você via a cara dos turistas, estavam apavorados. Até a hora que terminava o arrasto dos pescadores, lá puxando no meio dos turistas mesmo, fantástico. A gente delirando, eu, minha esposa e os outros. Olha a cara dos hóspedes. que eles não estavam preparados para aquilo. E a gente falou com o pessoal do hotel, depois, olha, para preparar o turista, dizer para ele apreciar a cultura local.","ctid:438","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 13.docx","default","Ela está sendo transformada. Ela está sendo simplificada ou ignorada. Veja que também tem uma outra questão aí que se põe. No geral, a população que eu lido normalmente daqui em Alagoas, ela vem das classes mais baixas","ctid:440","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 14.docx","default","Então, esse resgate é a partir do conhecimento. É preciso conhecer, é preciso também que tenham pessoas dispostas a Reviver isso, digamos assim, fazer com que isso seja conhecido e seja perpetuado, mas que seja utilizado, né? Se traga de volta isso. Tô me lembrando do livro de socorro agora. ","ctid:104","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 15.docx","default","Então, isso é a cultura local. Muito ligada à pesca, ao turismo de base comunitária atualmente e à agricultura familiar.","ctid:124","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 15.docx","default","Eu entendo que é necessário e é crucial, porque aos poucos a gente vê a cultura local se perdendo. A nova geração vem com outra pegada. Essa semana eu estava pensando muito nisso. Eu tenho um filho de adolescente que cresceu comigo, vendo como é o meu trabalho. E eu tento passar para ele essa cultura, mas o espaço da pesca está sendo ocupado pela especulação imobiliária","ctid:125","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 16.docx","default","Então, tem pouca manifestação da cultura religiosa, como também tem pouca manifestação das festividades, das comemorações dos pescadores em algumas datas","ctid:145","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 16.docx","default","Já estava falando… Tem bastante mudança, tem bastante mudança. Alguns locais mantêm algumas tradições, mas como teve um investimento muito grande, um direcionamento muito grande dos dois governos de Alagoas e Pernambuco, aquele Programa de Desenvolvimento do Turismo, o Pernambuco, então foram se estabelecendo várias atividades voltadas para o turismo e que aí foi escondendo essas atividades mais culturais, mais representativas que essas populações tradicionais elas têm. ","ctid:148","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 17.docx","default","o fazer isso, eu não deixo fazer isso, a gente observa que esse resgate da cultura, que há um tempo atrás ela passou perdida.

Mas foi por co","ctid:172","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 18.docx","default","Eu acho que o que está se perdendo a gente não pode deixar morrer, aqui a gente não tem mais espaço para se fazer uma jangada, a gente não tem um estaleiro","ctid:201","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 2.docx","default","Porque a gente vê a mudança da matriz religiosa na região católica para evangélica e isso se perdeu, infelizmente, e também com a migração de muitas pessoas antigas. Mas a cultura é representada através das manifestações que elas estão presentes, mas elas não estavam bem organizadas. Repito, eu falo do pouco de a manifestação estar sendo novamente devolvida aos alagoanos, pouco alagoano, mas pode ser que estava lá no fundo, estava de muitas casas, de muitos moradores locais. Eles foram trazidos para um grupo maior. Então, essas manifestações, elas sempre existiram. Quando a gente olha até os pescadores, as marisqueiras, que possuem suas características culturais específicas, como eles coletam, quais os artefatos, quais os materiais que eles utilizam, o que vem da ancestralidade deles, aquilo, para o turista, era pouco divulgado.","ctid:242","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 3.docx","default","h, assim. Aí eu acho que dentro das ações da APA, dos incentivos que a gente faz, eu acho que a gente tem que, culturalmente, se juntar com aquelas coisas que são realmente tradicionais lá","ctid:263","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 4.docx","default"," mas por outro lado, eu sinto que eles estão assim, esmagados, eles terminaram, eu não sei, porque não tem como, por exemplo, a luta da Resex já vai para mais de 10 anos e agora mesmo eu vejo eles ali ainda, faço parte do grupo do WhatsApp, isso não vai sair assim, mas é tipo, a gente vê, eu participei do último documento que tem protocolado com os estudos para pedido da criação da Resex, eu que encabecei, coloquei, pedi em noite, porque tinha um prazo tal para entregar, para ir para custo da pública, que não sei o que, não sei o que, e a gente conseguiu, a gente fez tudo no prazo,  quando chega no governo, então tipo, e se nada foi feito ali","ctid:289","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 5.docx","default"," mas a gente tem uma cultura também de muitos pescadores, esse estuário é muito rico de estoque de pescados, tem marisqueiras, tem as pessoas que também trabalham com a área de mangue, porque aqui em Carneiros a gente tem essa área mais de beira-mar e vai até o outro lado, no Rio Ariquindá, que é a área que tem os mangue, e então a gente tem muita caça também, tem áreas de mata nas propriedades aqui atrás, do outro lado da pista, enfim, é um lugar muito rico, né","ctid:320","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 6.docx","default","Então, muitas vezes acaba se perdendo pela especulação imobiliária, pela o aumento da popularização da região. Eu acho que esse resgate vem daí, dessa sensação de pertencimento e de valoração da cultura local.","ctid:340","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 6.docx","default"," E eu acho que quando a gente valora e incentiva essa busca cultural, eu estou falando de uma coisa muito efêmera, de uma ideia de uma criança. Mas vai falar do pescador artesanal que pescava com o filho, sabe? Que aprendeu com o pai, vai falar da marisqueira, que senta ali na virada da maré e está fazendo amizade, contando histórias, sabe? pegando o marisco. Então eu acho que isso é muito importante, isso faz parte da identidade das pessoas, sabe? Acho que você não conta... Não existe a história do pescador sem a história do pai do pescador, não existe a minha história de mergulhadora hoje sem a história mergulhando com a carana pia da cozinha. Então eu acho que isso é muito importante.","ctid:341","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 6.docx","default","principalmente por a região da APA ter se tornado um polo turístico, mas foi um turismo que não aconteceu de forma orgânica, aconteceu mais desenfreado e pode ser muito mais prejudicado agora que a gente vai ter a construção do aeroporto ali na região de Maragogi. Então eles foram impactados diretamente, desde o momento que o pescador precisou vender sua casa, que era na madeira da praia, para dar espaço para um hotel, para um resort, que ele teve que ir morar mais distante, desde como aquela construção influencia na peste, influencia na qualidade da água. Então eles são impactados, mas há resistência.","ctid:343","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 7.docx","default","E foi embora tudo. Aí ficou só a cultura da pesca nossa. A associação, já falando de pescador, tem 618 até o mês passado, associados. Será que a cultura da pesca está sendo pregada com esses associados? Não estão.","ctid:367","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 8.docx","default","E a gente, dentro desse plano de trabalho desse projeto, a gente quer fazer um mapeamento cultural das atividades existentes aqui no município de Porto de Pedras, seja cultura relacionada à culinária, às tradições orais, às expressões artísticas, de forma diversa. E a gente quer trazer, com esse mapeamento, luz para essas práticas, tendo como ponto focal, como público-alvo, a comunidade mais jovem. E como a gente quer que seja atrativo para eles, pensando em um formato mais moderno, que seria uma série em podcast. Então a gente, no nosso plano de trabalho, a gente pensa em fazer uma série de entrevistas com dez episódios, transmitir ao vivo no YouTube, fazer essa divulgação prévia nas escolas, que é o público-alvo que a gente quer atingir. E, de forma atrativa, trazer para eles esses costumes que muitas das vezes a gente não conhece mais. E vão se perdendo com o passar do tempo. A população vai envelhecendo, esse conhecimento, esses saberes não são repassados e acaba se perdendo.","ctid:390","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 9.docx","default","Olha, é como eu disse, eu sonho com isso. Eu sonho, porque é o que a gente tem de rico. É a oportunidade. Enquanto muita gente sai daqui e vai pra capital ou até pra outros estados, eu moro há quase 50 anos, vou fazer 50 anos. Eu acredito, eu gosto dessa vida, eu gosto. Esse é meu mundo. Então, eu acredito que esse investimento na cultura, vai… é um sonho, é um sonho de consumo pra gente que gosta da natureza.","ctid:417","2 Parcialmente","","Cultura é preservada","Núcleo de Políticas"
"Entrevistado 15.docx","default","Mas eu acho que o turismo de base comunitária tem crescido ao longo dos anos e tem se consolidado. Acho que é uma forma de fazer esse envolvimento cultural com a comunidade local.","ctid:126","2 Políticas de estímulo a cultura local","","Estímulo à cultura local","Núcleo de Políticas"
"Entrevistado 17.docx","default","te, é importante demais. A gente está participando de um curso que fala sobre gestão ambiental, gestão socioambiental territorial. Quando a gente fala de cultura, a gente lembra primeiramente do território. E resgatar a cultura no território é muito importante. A gente tem uma colônia de pescadores lá bastante ativa, e há um tempo não estava dessa forma. Mas a gente tem conseguido dar um suporte para essa colônia, justamente fazendo com que essa cultura da pesca, eu esqueci até de falar que tem uma cultura muito grande da pesca, nos rios principalmente, nos rios que cortam o município, principalmente o rio Una, essa cultura ela não pode se perder. Porque é uma identidade que o município tem, e essa identidade é muito forte. Então esse resgate dessa cultura que a gente tem fortalecido para se ter ideia, a quantidade de números de associados cresceu bastante, e que realmente são pessoas que desenvolvem a pesca. Não é aquela pessoa que só tem o título de pescador, não, é que realmente realizam a pesca. Temos mulheres","ctid:171","2 Políticas de estímulo a cultura local","","Estímulo à cultura local","Núcleo de Políticas"
